,husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,nwifeinc,inlf,hrwage
64,44,0.0,1450,18,0,0,40,1,1100.0,45,0,18,0,0.0,3000,20,21,0,40,0.0,1,27.5
66,31,0.0,675,16,0,0,40,0,434.0,32,0,14,0,0.0,67500,9,12,1,24,44.931999999999995,1,18.08333
67,40,0.0,865,18,0,0,48,0,100.0,38,0,18,0,0.0,3000,16,14,1,10,0.0,1,10.0
69,33,0.0,600,12,0,0,35,1,308.0,31,0,12,0,0.0,3000,15,13,0,30,0.0,1,10.26667
79,34,0.0,1923,18,0,0,60,0,962.0,33,0,18,1,0.0,112500,10,9,1,27,62.476000000000006,1,35.62963
81,53,0.0,385,12,0,0,0,0,576.0,45,0,12,0,0.0,55000,35,27,0,40,25.048000000000002,1,14.4
82,25,0.0,350,11,1,0,40,0,141.0,33,1,10,0,0.0,13750,8,17,0,35,6.417999999999999,1,4.0285720000000005
84,26,0.0,250,15,1,0,40,0,500.0,24,1,12,0,0.0,0,5,6,0,40,0.0,1,12.5
85,53,0.0,1157,17,0,0,91,0,1000.0,52,0,18,0,1.0,55000,30,28,0,35,3.0,1,28.57143
89,39,0.0,200,12,0,0,50,0,300.0,28,0,12,0,0.0,8750,21,10,0,40,0.0,1,7.5
90,24,0.0,390,12,1,0,0,0,205.0,22,1,12,0,0.0,17500,6,4,1,25,6.84,1,8.2
92,46,0.0,1000,12,0,0,24,0,992.0,33,0,12,0,1.0,112500,28,15,0,40,60.916000000000004,1,24.8
95,35,0.0,300,9,0,0,40,1,88.0,37,0,12,0,0.0,13750,20,19,0,20,9.174,1,4.4
96,39,0.0,611,12,0,0,40,1,5.0,38,0,14,0,0.0,32500,21,18,0,1,32.24,1,5.0
98,30,0.0,825,16,0,0,50,0,500.0,28,0,18,0,0.0,45000,8,4,0,84,19.0,1,5.952381
99,31,0.0,266,13,0,1,38,0,200.0,27,0,12,1,0.0,22500,12,9,1,40,12.1,1,5.0
100,41,1.0,520,12,0,0,40,1,240.0,37,0,13,0,0.0,37500,23,18,0,40,25.02,1,6.0
108,44,0.0,401,6,0,0,40,0,220.0,45,0,12,0,0.0,37500,32,27,0,40,26.06,1,5.5
114,38,0.0,780,14,0,0,40,1,95.0,40,0,14,0,0.0,45000,18,20,0,15,40.06,1,6.3333330000000005
115,46,0.0,950,11,0,0,45,0,150.0,46,0,11,0,0.0,67500,29,29,0,24,59.7,1,6.25
117,31,0.0,550,12,0,0,40,0,670.0,30,0,12,0,0.0,45000,13,12,0,60,10.16,1,11.16667
119,37,0.0,200,12,0,0,40,1,286.0,47,0,12,0,0.0,17500,19,29,0,40,2.628,1,7.15
120,27,0.0,338,12,0,0,25,0,333.0,28,0,16,0,0.0,37500,9,6,1,40,20.184,1,8.325
122,33,1.0,480,13,1,0,40,0,360.0,32,1,14,0,0.0,45000,14,12,1,40,26.28,1,9.0
123,33,0.0,850,18,0,0,40,0,646.0,34,0,16,0,0.0,67500,9,12,0,40,33.908,1,16.15
125,42,0.0,1250,18,0,0,50,1,769.0,42,0,16,0,0.0,112500,18,20,0,77,72.512,1,9.987013000000001
127,46,0.0,800,18,0,0,40,0,400.0,44,0,18,0,0.0,0,22,20,1,24,0.0,1,16.66667
128,60,0.0,450,10,0,0,54,0,543.0,57,0,12,0,1.0,55000,44,39,0,40,26.764,1,13.575
129,51,0.0,500,12,1,0,70,0,80.0,46,1,10,0,0.0,17500,33,30,0,10,13.34,1,8.0
130,54,0.0,400,12,0,0,40,0,325.0,54,0,12,0,0.0,37500,36,36,0,40,20.6,1,8.125
131,50,0.0,220,6,0,1,40,1,260.0,43,0,3,1,1.0,27500,38,34,0,40,13.98,1,6.5
135,44,0.0,337,14,0,0,70,1,332.0,42,0,12,0,0.0,27500,24,24,0,40,10.236,1,8.3
143,48,1.0,600,12,0,0,40,0,235.0,50,0,13,0,0.0,45000,30,31,0,35,32.78,1,6.714286
145,37,0.0,600,18,0,0,38,0,230.0,26,0,13,0,0.0,45000,13,7,1,25,33.04,1,9.2
147,40,0.0,700,18,0,0,32,1,35.0,40,0,16,0,0.0,32500,16,18,0,2,30.68,1,17.5
153,24,0.0,280,12,1,0,40,0,200.0,29,1,12,0,0.0,22500,6,11,1,30,12.1,1,6.6666669999999995
157,54,0.0,500,12,0,0,55,0,100.0,51,0,12,0,0.0,45000,36,33,0,21,39.8,1,4.7619050000000005
162,50,0.0,780,12,0,0,40,0,600.0,42,0,16,0,1.0,67500,32,20,0,40,36.3,1,15.0
164,49,1.0,606,12,0,0,57,0,126.0,50,0,12,0,0.0,45000,31,32,0,28,38.448,1,4.5
165,37,1.0,600,16,0,0,38,1,450.0,36,0,16,0,1.0,45000,15,14,0,35,21.6,1,12.85714
166,56,0.0,1200,12,0,0,40,0,450.0,54,0,15,0,0.0,32500,38,33,0,24,9.1,1,18.75
168,24,0.0,430,16,0,0,40,0,153.0,23,0,16,0,0.0,27500,2,1,0,30,19.544,1,5.1
170,26,0.0,277,18,0,0,40,0,140.0,26,1,12,0,0.0,13750,2,8,1,35,6.47,1,4.0
172,51,0.0,1600,18,0,0,50,0,275.0,51,0,12,0,0.0,67500,27,33,0,27,53.2,1,10.185189999999999
176,34,0.0,368,10,0,0,32,1,231.0,33,0,12,0,0.0,45000,18,15,0,40,32.988,1,5.775
177,29,0.0,1092,12,0,0,84,0,300.0,30,0,16,0,0.0,55000,11,8,1,35,39.4,1,8.571428
178,35,0.0,175,18,0,0,20,0,400.0,27,0,16,0,0.0,32500,11,5,1,40,11.7,1,10.0
179,37,0.0,400,12,0,0,40,1,400.0,38,0,14,0,0.0,37500,19,18,0,40,16.7,1,10.0
180,53,0.0,425,12,0,0,40,0,490.0,45,0,12,0,0.0,0,35,27,0,40,0.0,1,12.25
181,27,0.0,625,13,0,0,40,0,396.0,26,0,12,0,0.0,45000,8,8,0,35,24.408,1,11.31429
185,24,0.0,300,12,0,0,40,0,500.0,22,0,16,0,0.0,17500,6,0,0,48,0.0,1,10.41667
186,39,0.0,360,14,0,0,40,0,500.0,33,0,14,0,1.0,45000,19,13,1,40,19.0,1,12.5
191,26,0.0,1200,13,0,0,40,0,500.0,25,0,16,0,0.0,45000,7,3,0,45,19.0,1,11.11111
193,38,1.0,1000,14,0,0,46,0,700.0,38,0,14,0,1.0,55000,18,18,1,35,18.6,1,20.0
194,38,0.0,770,14,0,0,32,1,414.0,38,0,14,0,0.0,55000,18,18,0,24,33.472,1,17.25
195,33,0.0,400,12,0,0,40,0,105.0,28,0,12,0,0.0,22500,15,10,0,30,17.04,1,3.5
196,27,0.0,200,12,0,0,40,0,326.0,22,0,12,0,0.0,22500,9,4,0,40,5.547999999999999,1,8.15
197,39,0.0,1500,16,0,0,40,0,500.0,38,0,12,0,1.0,55000,17,20,0,40,29.0,1,12.5
198,32,0.0,650,13,0,0,50,1,425.0,33,0,14,0,0.0,45000,13,13,0,40,22.9,1,10.625
201,52,0.0,440,10,0,0,40,1,126.0,37,0,12,0,0.0,32500,36,19,0,32,25.948,1,3.9375
202,64,0.0,71,14,0,0,16,1,230.0,54,0,15,0,0.0,17500,44,33,0,40,5.54,1,5.75
203,54,0.0,770,18,0,0,40,0,475.0,56,0,14,0,0.0,55000,30,36,0,40,30.3,1,11.875
207,25,0.0,230,13,0,0,40,0,650.0,24,0,14,1,0.0,27500,6,4,1,40,0.0,1,16.25
214,34,0.0,400,12,0,0,48,0,200.0,34,0,10,0,0.0,32500,16,18,1,30,22.1,1,6.6666669999999995
215,42,0.0,486,12,0,0,48,0,136.0,39,0,12,0,0.0,32500,24,21,0,24,25.428,1,5.6666669999999995
219,31,0.0,170,12,0,0,40,0,200.0,31,0,12,0,0.0,27500,13,13,1,40,17.1,1,5.0
222,61,0.0,264,12,0,0,40,0,418.0,55,0,12,0,0.0,45000,43,37,0,40,23.264,1,10.45
224,52,0.0,234,10,0,0,56,0,90.0,50,0,12,0,0.0,27500,36,32,0,10,22.82,1,9.0
225,36,0.0,700,14,0,0,40,0,680.0,33,0,14,0,0.0,67500,16,13,1,36,32.14,1,18.88889
228,50,0.0,300,12,0,0,45,0,300.0,51,0,12,0,0.0,32500,32,33,0,40,16.9,1,7.5
239,35,0.0,550,16,0,0,40,0,300.0,34,0,16,0,0.0,27500,13,12,1,30,11.9,1,10.0
240,42,1.0,529,18,0,0,40,0,323.0,32,0,14,0,0.0,37500,18,12,1,40,20.704,1,8.075
242,35,0.0,480,13,0,1,40,0,351.0,35,0,14,1,0.0,3000,16,15,1,30,0.0,1,11.7
245,41,1.0,750,17,1,0,55,0,770.0,42,1,17,0,1.0,67500,18,19,1,50,27.46,1,15.4
248,41,0.0,340,13,0,0,40,1,233.0,41,0,12,0,0.0,27500,22,23,0,40,15.384,1,5.825
251,57,0.0,600,14,1,0,40,0,450.0,50,1,12,0,0.0,22500,37,32,0,40,0.0,1,11.25
252,36,0.0,923,13,0,0,0,0,969.0,35,0,16,0,0.0,67500,17,13,0,50,17.112000000000002,1,19.38
254,30,0.0,380,12,0,0,8,1,385.0,35,0,12,0,0.0,27500,12,17,0,40,7.48,1,9.625
255,32,1.0,324,14,0,0,40,1,113.0,34,0,14,0,0.0,13750,12,14,0,25,7.874,1,4.52
258,28,0.0,500,14,0,0,40,0,400.0,25,0,16,1,0.0,17500,8,3,0,40,0.0,1,10.0
259,43,1.0,700,12,1,0,40,1,450.0,41,1,12,0,0.0,3000,25,23,0,45,0.0,1,10.0
262,59,0.0,550,13,0,0,49,0,760.0,57,0,18,0,0.0,67500,40,33,0,50,27.98,1,15.2
265,29,0.0,375,16,0,0,40,0,310.0,28,0,16,0,0.0,45000,7,6,0,40,28.88,1,7.75
268,30,0.0,962,18,0,0,40,0,480.0,29,0,16,0,0.0,67500,6,7,0,50,42.54,1,9.6
269,45,0.0,600,16,0,0,50,0,600.0,43,0,18,0,1.0,67500,23,19,0,40,36.3,1,15.0
273,27,0.0,750,16,0,0,38,0,450.0,27,0,16,0,0.0,67500,5,5,0,40,44.1,1,11.25
274,57,0.0,1923,16,0,0,60,0,1000.0,56,0,16,0,0.0,112500,35,34,0,50,60.5,1,20.0
275,34,0.0,970,16,0,0,50,0,500.0,32,0,15,0,0.0,112500,12,11,1,18,86.5,1,27.77778
276,26,1.0,400,12,0,0,50,0,320.0,24,0,12,0,0.0,32500,8,6,0,40,15.86,1,8.0
278,46,0.0,736,11,0,0,52,1,196.0,42,0,12,0,0.0,32500,29,24,0,30,22.308000000000003,1,6.533333
286,44,0.0,900,16,0,0,32,0,150.0,39,0,16,0,0.0,3000,22,17,0,40,0.0,1,3.75
289,30,0.0,360,14,0,0,40,0,512.0,29,0,16,0,1.0,45000,10,7,1,32,18.375999999999998,1,16.0
290,41,0.0,750,13,0,0,55,1,275.0,38,0,13,0,0.0,45000,22,19,0,40,30.7,1,6.875
291,32,0.0,456,12,0,0,54,0,118.0,30,0,12,0,0.0,32500,14,12,1,15,26.364,1,7.866667
293,57,1.0,480,16,0,0,40,0,240.0,36,0,12,0,1.0,112500,35,18,0,40,100.02,1,6.0
295,47,0.0,500,13,0,0,40,1,168.0,46,0,14,0,0.0,45000,28,26,0,24,36.264,1,7.0
297,35,0.0,900,13,0,0,40,1,105.0,39,0,12,0,0.0,55000,16,21,0,20,49.54,1,5.25
298,39,0.0,1200,16,0,0,40,1,400.0,34,0,15,0,0.0,3000,17,13,0,40,0.0,1,10.0
300,41,0.0,1100,14,0,0,40,1,287.0,40,0,14,0,0.0,55000,21,20,0,35,40.076,1,8.2
301,57,1.0,500,18,0,0,48,0,750.0,53,0,14,0,0.0,3000,33,33,0,60,0.0,1,12.5
302,42,1.0,664,13,0,0,16,0,355.0,43,0,12,0,0.0,55000,23,25,0,40,36.54,1,8.875
304,61,0.0,550,13,0,0,40,0,400.0,59,0,14,0,0.0,0,42,39,0,40,0.0,1,10.0
305,25,0.0,320,13,0,0,40,0,404.0,25,0,14,0,0.0,67500,6,5,1,40,46.492,1,10.1
311,33,0.0,280,14,0,0,40,0,500.0,32,0,17,0,1.0,45000,13,9,0,40,19.0,1,12.5
312,58,0.0,1923,12,0,0,40,0,600.0,55,0,12,0,0.0,0,40,37,0,40,0.0,1,15.0
315,48,1.0,440,12,0,1,48,1,40.0,48,0,12,1,0.0,27500,30,30,0,50,25.42,1,0.8
319,39,0.0,540,16,0,0,40,0,540.0,36,0,16,0,0.0,3000,17,14,1,40,0.0,1,13.5
320,52,0.0,1300,16,0,0,40,0,462.0,50,0,16,0,1.0,112500,30,28,0,45,88.476,1,10.26667
321,43,0.0,450,13,0,0,35,0,425.0,42,0,12,0,0.0,112500,24,24,0,35,90.4,1,12.14286
322,45,1.0,611,12,0,0,40,0,608.0,40,0,15,0,1.0,55000,27,19,0,40,23.384,1,15.2
323,40,1.0,750,18,0,0,60,0,415.0,37,0,15,0,0.0,112500,16,16,0,72,90.92,1,5.763889
325,34,0.0,512,12,0,1,50,0,308.0,27,0,12,1,0.0,55000,16,9,1,40,38.984,1,7.7
326,57,0.0,750,12,0,0,52,0,350.0,52,0,12,0,0.0,3000,39,34,0,35,0.0,1,10.0
327,41,1.0,727,14,0,0,40,0,727.0,42,0,12,0,1.0,112500,21,24,1,40,74.696,1,18.175
328,26,0.0,470,12,1,0,40,0,500.0,25,1,12,0,0.0,27500,8,7,0,40,1.5,1,12.5
329,33,0.0,865,16,0,0,40,0,150.0,29,0,12,0,0.0,45000,11,11,1,40,37.2,1,3.75
331,46,0.0,480,16,0,0,60,1,340.0,44,0,17,0,0.0,27500,24,21,0,40,9.82,1,8.5
333,30,0.0,950,14,0,0,52,0,333.0,30,0,14,0,0.0,55000,10,10,0,40,37.684,1,8.325
338,47,0.0,907,14,0,0,40,1,160.0,47,0,12,0,1.0,55000,27,29,0,20,46.68,1,8.0
339,42,0.0,660,16,0,0,40,0,375.0,40,0,16,0,0.0,45000,20,18,1,40,25.5,1,9.375
340,24,0.0,280,9,0,0,42,0,400.0,23,0,12,0,0.0,37500,9,5,1,45,16.7,1,8.888889
341,21,0.0,600,13,0,0,56,1,300.0,33,0,12,0,0.0,55000,2,15,0,40,39.4,1,7.5
347,41,0.0,400,12,0,0,45,1,350.0,44,0,16,0,0.0,32500,23,22,0,45,14.3,1,7.777778
351,41,0.0,240,12,0,0,48,1,550.0,38,0,12,0,0.0,32500,23,20,0,45,3.9,1,12.22222
352,47,0.0,1200,14,0,0,40,0,450.0,46,0,12,0,0.0,3000,27,28,0,35,0.0,1,12.85714
356,41,0.0,675,13,0,0,55,1,276.0,42,0,13,0,0.0,55000,22,23,0,40,40.648,1,6.9
357,44,0.0,420,12,0,0,52,1,345.0,43,0,13,0,0.0,45000,26,24,0,30,27.06,1,11.5
361,29,0.0,350,17,0,0,40,0,497.0,29,0,14,0,0.0,45000,6,9,1,36,19.156,1,13.80556
366,29,0.0,375,16,0,0,35,0,200.0,29,0,16,0,0.0,0,7,7,0,40,0.0,1,5.0
370,40,0.0,625,18,0,0,35,1,165.0,37,0,12,0,0.0,32500,16,19,0,25,23.92,1,6.6
371,55,0.0,450,12,0,0,40,1,314.0,41,0,12,0,0.0,55000,37,23,0,40,38.672,1,7.85
374,43,1.0,260,13,0,0,40,1,300.0,44,0,14,0,1.0,27500,24,24,0,40,11.9,1,7.5
376,28,0.0,800,14,0,0,55,0,68.0,31,0,13,1,0.0,17500,8,12,0,30,13.964,1,2.266667
377,37,0.0,635,18,0,0,32,0,615.0,28,0,18,0,0.0,55000,13,4,1,40,23.02,1,15.375
379,29,0.0,756,16,0,0,43,0,654.0,30,0,16,0,0.0,67500,7,8,0,40,33.492,1,16.35
380,42,0.0,641,12,0,0,45,0,600.0,44,0,18,0,0.0,6250,24,20,1,15,0.0,1,40.0
383,43,1.0,413,14,0,0,40,1,260.0,42,0,12,0,0.0,37500,23,24,0,40,23.98,1,6.5
387,37,0.0,540,12,0,0,38,1,140.0,28,0,10,0,0.0,0,19,12,0,40,0.0,1,3.5
388,51,0.0,240,12,0,0,40,0,430.0,48,0,12,0,0.0,13750,33,30,0,35,0.0,1,12.28571
389,27,0.0,225,12,1,0,40,0,357.0,29,1,12,0,0.0,37500,9,11,1,40,18.936,1,8.925
391,22,0.0,320,12,0,0,40,0,40.0,21,0,13,0,0.0,17500,4,2,0,8,15.42,1,5.0
393,24,0.0,310,12,0,0,32,0,900.0,57,0,12,0,0.0,17500,6,39,1,40,0.0,1,22.5
395,28,0.0,190,6,0,1,40,0,200.0,25,0,9,1,1.0,6250,16,10,1,40,0.0,1,5.0
396,42,0.0,500,18,0,0,40,1,400.0,28,0,18,0,0.0,32500,18,4,0,40,11.7,1,10.0
399,45,1.0,780,12,0,0,40,1,435.0,42,0,12,0,0.0,37500,27,24,0,40,14.88,1,10.875
402,52,0.0,630,12,0,0,55,0,580.0,53,0,12,0,0.0,45000,34,35,0,55,14.84,1,10.54545
404,40,0.0,385,12,0,0,58,1,433.0,37,0,12,0,1.0,45000,22,19,0,40,22.484,1,10.825
405,49,1.0,460,12,0,0,40,0,280.0,45,0,12,0,1.0,27500,31,27,0,40,12.94,1,7.0
407,52,0.0,615,14,0,0,50,1,28.0,43,0,12,0,0.0,37500,32,25,0,5,36.044000000000004,1,5.6
408,32,0.0,400,12,0,0,60,0,360.0,30,0,12,0,0.0,45000,14,12,1,40,26.28,1,9.0
409,57,1.0,875,12,0,0,45,0,442.0,49,0,12,0,0.0,55000,39,31,0,40,32.016,1,11.05
410,31,0.0,425,12,0,0,50,0,150.0,24,0,10,0,0.0,32500,13,8,1,30,24.7,1,5.0
414,58,0.0,300,12,0,0,49,0,90.0,58,0,12,0,1.0,27500,40,40,0,15,22.82,1,6.0
415,33,0.0,500,12,0,1,40,0,54.0,37,0,13,0,0.0,27500,15,18,1,12,24.691999999999997,1,4.5
418,55,0.0,660,12,0,0,40,0,600.0,45,0,12,0,0.0,55000,37,27,0,24,23.8,1,25.0
419,59,0.0,625,12,0,0,45,0,398.0,56,0,12,0,1.0,45000,41,38,0,40,24.304000000000002,1,9.95
423,28,0.0,300,12,0,0,40,0,180.0,29,0,12,0,0.0,45000,10,11,1,20,35.64,1,9.0
426,29,0.0,300,12,0,1,40,0,344.0,27,0,12,1,0.0,27500,11,9,1,40,9.612,1,8.6
427,45,0.0,1500,14,0,0,40,0,600.0,44,0,16,0,0.0,67500,25,22,0,40,36.3,1,15.0
428,43,0.0,296,12,0,0,60,0,289.0,37,0,12,0,0.0,0,25,19,0,40,0.0,1,7.225
429,37,1.0,650,12,0,0,45,0,370.0,26,0,13,0,0.0,45000,19,7,0,40,25.76,1,9.25
433,61,0.0,250,10,0,0,52,0,200.0,58,0,12,0,0.0,27500,45,40,0,35,17.1,1,5.714286
434,35,1.0,530,12,0,0,45,1,682.0,34,0,12,0,0.0,67500,17,16,0,40,32.036,1,17.05
435,36,0.0,600,12,0,0,60,0,350.0,35,0,16,0,0.0,37500,18,13,1,40,19.3,1,8.75
436,34,1.0,660,8,0,0,60,0,195.0,29,0,14,0,0.0,45000,20,9,1,21,34.86,1,9.285714
441,21,0.0,234,12,0,0,34,0,200.0,19,0,12,0,0.0,11500,3,1,1,40,1.1,1,5.0
443,37,0.0,600,13,0,0,60,0,458.0,30,0,12,0,0.0,27500,18,12,1,40,3.6839999999999997,1,11.45
444,47,1.0,440,12,1,0,40,0,162.0,45,1,12,0,1.0,27500,29,27,0,40,19.076,1,4.05
450,52,1.0,440,12,0,0,40,0,82.0,55,0,12,0,0.0,0,34,37,0,40,0.0,1,2.05
452,62,0.0,692,12,0,0,40,0,692.0,57,0,12,0,0.0,67500,44,39,0,40,31.516,1,17.3
456,41,1.0,85,12,1,0,40,1,268.0,39,1,12,0,1.0,37500,23,21,0,40,23.564,1,6.7
459,42,1.0,224,12,1,0,40,1,500.0,41,1,12,0,0.0,67500,24,23,0,40,41.5,1,12.5
460,28,0.0,446,12,0,0,40,0,420.0,41,0,13,0,0.0,55000,10,22,0,40,33.16,1,10.5
463,59,0.0,700,16,0,0,40,0,130.0,54,0,16,0,0.0,37500,37,32,0,20,30.74,1,6.5
464,55,0.0,268,12,0,0,0,0,220.0,52,0,12,0,0.0,32500,37,34,0,40,21.06,1,5.5
465,44,0.0,300,11,1,0,40,1,300.0,45,1,12,0,1.0,17500,27,27,0,40,1.9,1,7.5
466,35,1.0,666,12,0,0,44,0,360.0,27,0,12,0,0.0,45000,17,9,0,40,26.28,1,9.0
468,44,1.0,900,14,0,0,40,1,65.0,44,0,12,0,0.0,55000,24,26,0,9,51.62,1,7.222222
469,24,0.0,320,14,0,0,40,0,35.0,20,0,12,0,0.0,22500,4,2,1,6,20.68,1,5.8333330000000005
471,32,1.0,560,13,0,1,40,0,308.0,33,0,15,1,0.0,45000,13,12,1,40,28.984,1,7.7
472,35,0.0,443,16,0,0,55,0,275.0,25,0,16,0,0.0,37500,13,3,0,45,23.2,1,6.111111
474,44,1.0,538,17,0,0,40,0,480.0,36,0,17,0,1.0,67500,21,13,1,40,42.54,1,12.0
475,31,1.0,742,16,0,0,45,0,385.0,26,0,14,0,0.0,45000,9,6,0,40,24.98,1,9.625
478,31,0.0,485,12,0,0,58,0,125.0,26,0,12,0,0.0,27500,13,8,1,24,21.0,1,5.2083330000000005
479,36,0.0,382,18,0,0,29,0,609.0,32,0,14,0,1.0,45000,12,12,1,40,13.332,1,15.225
483,26,0.0,300,12,0,0,40,1,113.0,30,0,6,1,0.0,17500,8,18,0,25,11.624,1,4.52
484,38,0.0,788,14,0,0,0,1,672.0,37,0,15,0,0.0,67500,18,16,0,24,32.556,1,28.0
487,42,0.0,850,18,0,0,40,0,60.0,34,0,14,0,0.0,37500,18,14,1,12,34.38,1,5.0
488,26,0.0,770,16,0,1,40,0,300.0,24,0,16,0,0.0,67500,4,2,0,40,51.9,1,7.5
491,31,1.0,234,16,0,0,25,0,374.0,26,0,12,0,1.0,32500,9,8,1,40,13.052,1,9.35
493,45,0.0,1900,18,0,0,60,1,885.0,46,0,18,1,0.0,112500,21,22,0,40,66.48,1,22.125
495,34,0.0,815,16,0,0,50,0,807.0,39,0,15,0,0.0,3000,12,18,0,40,0.0,1,20.175
496,51,0.0,250,12,0,0,40,0,400.0,53,0,17,0,1.0,55000,33,30,0,40,34.2,1,10.0
497,49,0.0,400,12,0,1,40,0,300.0,46,0,8,1,0.0,32500,31,32,0,35,16.9,1,8.571428
498,39,0.0,290,12,0,0,40,1,254.0,36,0,10,0,0.0,22500,21,20,0,40,9.292,1,6.35
501,33,0.0,405,12,0,0,47,1,346.0,38,0,12,0,0.0,37500,15,20,0,40,19.508,1,8.65
506,43,0.0,800,14,0,0,40,1,560.0,39,0,12,0,0.0,45000,23,21,0,40,15.88,1,14.0
508,33,1.0,700,12,0,0,70,1,219.0,30,0,14,0,0.0,55000,15,10,0,35,43.611999999999995,1,6.257143
513,31,1.0,611,12,0,0,40,0,420.0,30,0,12,0,1.0,3000,13,12,1,40,0.0,1,10.5
515,48,1.0,472,10,0,0,40,0,294.0,47,0,12,0,0.0,37500,32,29,0,40,22.212,1,7.35
520,53,0.0,600,14,0,0,40,0,400.0,54,0,14,0,1.0,55000,33,34,0,40,34.2,1,10.0
524,41,0.0,824,16,0,0,37,1,1104.0,39,0,18,0,1.0,55000,19,15,0,16,0.0,1,69.0
530,61,0.0,685,11,0,0,40,0,540.0,59,0,12,0,0.0,55000,44,41,0,40,26.92,1,13.5
531,44,0.0,1300,18,0,0,40,1,250.0,44,0,14,0,0.0,112500,20,24,0,35,99.5,1,7.142857000000001
535,31,1.0,855,15,0,0,50,1,125.0,32,0,12,0,0.0,45000,10,14,0,18,38.5,1,6.944445
536,26,0.0,460,12,0,0,40,0,400.0,25,0,14,0,0.0,45000,8,5,0,40,24.2,1,10.0
537,43,0.0,1100,18,0,0,50,1,456.0,44,0,12,0,0.0,67500,19,26,0,72,43.788000000000004,1,6.3333330000000005
541,49,0.0,360,6,0,0,40,0,400.0,48,0,14,0,0.0,22500,37,28,0,40,1.7,1,10.0
542,41,0.0,400,16,0,1,40,0,424.0,39,0,16,1,0.0,67500,19,17,1,40,45.452,1,10.6
543,49,0.0,800,12,0,0,40,1,160.0,49,0,12,0,0.0,67500,31,31,0,24,59.18,1,6.6666669999999995
545,49,0.0,440,12,0,0,40,0,345.0,47,0,12,0,0.0,45000,31,29,0,40,27.06,1,8.625
546,51,0.0,420,10,0,0,40,0,224.0,49,0,12,0,0.0,22500,35,31,0,54,10.852,1,4.148148
549,35,0.0,570,12,0,0,44,0,460.0,34,0,13,0,0.0,55000,17,15,1,40,31.08,1,11.5
551,37,1.0,925,18,0,0,40,1,200.0,37,0,17,0,0.0,55000,13,14,0,12,44.6,1,16.66667
552,35,0.0,392,9,0,0,40,0,375.0,27,0,16,0,0.0,37500,20,5,1,40,18.0,1,9.375
